Indial StatEt/Union Territory,Per Capital Budgeted Expenditure (Rs.) 1980-81,Per Capital Budgeted Expenditure (Rs.) 1989-90,Percentage of Budgeted Expenditure on Education to total Budget (Revenue) 1980-81,Percentage of Budgeted Expenditure on Education to total Budget (Revenue)1989-90
INDIA,49.9,146.0,24.6,19.9
Andhra Pradesh,47.0,152.4,252,20.7
Arunachal Pradesh,109.1,438.0,10.9,15.4
Assam,43.7,148.1,27.8,20.4
Bihar,30.4,96.6,29.4,21.8
Goa and Daman & Diu,121.5,383.3,28.7,42.4
Gujarat,59.7,181.5,232,20.9
Haryana,56.5,163.5,19.9,16.3
Himachal Pradesh,97.1,236.6,25.5,19.7
Jammu & Kashmir,77.5,191.5,18.9,14.4
Kamataka,53.1,172.9,21.9,21.7
Kerala,83.6,193.1,39.5,25.3
Madhya Pradeeh,32.6,992,18.4,17.0
Maharashtra,65.6,173.4,22.1,18.2
Manipur,120.5,3182,22.9,21.4
Meghalaya,76.2,316.8,17.9,19.4
Mizoram,155.1,466.4,14.5,13.8
Nagaland,160.2,375.2,14.9,13.4
Orissa,42.0,138.6,21.5,21.4
Punj8b,742,227.5,25.6,21.8
Rajasthan,44.1,135.5,22.5,22.7
Sikkim,100.0,480.2,11.9,18.3
Tamil Nadu,54.2,157.5,28.2,21.2
Tripur,76.7,371.0,19.2,22.1
Uttar Pradesh,76.5,97.4,26.0,15.1
West Bengal,52.7,158.0,25.9,26.0
A &N Islands,231.9,4952,14.2,11.4
Chandigarh,174.0,439.5,26.4,21.8
Dadr. & Nagar Haveli,79.8,1972,272,10.1
Delhi,104.8,257.7,37.6,27.4
Lakshadweep,330.0,837.3,17.5,13.3
PoIdcherry,116.9,377.2,22.1,19.2
