State,All Religious Communities,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Zoroastrians,Others
Andhra Pradesh,762.10,678.4,69.9,11.8,0.3,0.3,0.4,0.007,0.05
Bihar In lakhs,830.00,690.8,137.2,0.5,0.2,0.2,0.2,0.001,0.5
Chhattisgarh,208.3,197.3,4.1,4.0,0.7,0.6,0.6,13,0.9
Goa,13.5,8.9,0.9,3.6,0.00970,0.00649,0.00820,null,0.00353
Gujarat,506.71,451.43,45.92,2.84,0.46,0.18,5.25,0.12,0.28
Haryana,211.4,186.5,12.2,0.3,11.7,0.1,0.6,0.00024,0.21
Himachal Pradesh,60.8,58.0,1.2,0.08,0.7,0.8,0.01,null,null
Jammu & Kashmir,101.44,30.05,67.9,0.2,2.1,1.1,0.02,null,null
Jharkhand,269.5,184.7,37.3,10.9,0.8,null,0.2,null,35.1 
Karnataka,528.5,443.2,64.6,10.0,0.2,4.0,4.1,0.007,1.2
Kerala,318.4,178.8,78.6,60.6,0.03,0.02,0.04,null,0.02
Madhya Pradesh,603.5,550.0,38.4,1.7,1.5,2.1,5.4,0.00382,4.1
Maharashtra,968.8,778.6,102.7,10.6,2.1,58.4,13.0,0.5,2.4
Manipur,21.7,10.0,1.9,7.4,0.01,0.02,0.01,0.00011,2.4
Meghalaya,23.2,3.1,1.0,16.3,0.03,0.05,null,null,2.7
Mizoram,8.90,0.3,0.1,7.7,0.00326,0.7,null,null,0.02
Nagaland,19.9,1.5,0.4,17.9,0.01152,0.01356,0.02093,,0.00003,,0.06108
Orissa,368.0,347.2,7.6,9.0,0.17,0.10,0.09,null,3.6
Rajasthan,565.1,501.5,47.9,0.7,8.2,0.1,6.5,0.00086,0.05253
Sikkim,5.4,3.3,0.07693,0.4,0.01176,,1.5,0.00183,0.00004,0.1
Tamil Nadu,624.0,549.8,34.7,37.9,0.09,0.05,null,null,null
Tripura,32.0,27.4,2.5,1.0,0.01182,1.0,0.00477,null,0.01277
Uttar Pradesh,1662.0,1339.8,307.4,2.10,6.8,3.0,2.1,null,0.1
Uttaranchal,84.9,72.1,10.1,0.3,2.1,0.1,0.1,0.00004,0.01
West Bengal,801.7,581.0,202.4,5.1,0.6,2.4,0.6,null,null
Andaman & Nicobar Islands,3.5,2.4,0.3,0.8,0.01587,0.00421,0.00023,0.00001,0.00238
Delhi,138.5,113.6,16.2,1.3,5.6,0.2,1.6,0.00202,0.02
Pudducherry,9.8,8.5,0.6,0.7,0.00108,0.00073,0.00952,0.00011,0.00158
