State,All Religious Communities,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Zoroastrians,Others
Andhra Pradesh,50.4,49.2,59.1,69.8,72.7,41.0,89.6,-,63.2
Bihar,33.1,33.4,31.5,66.4,73.3,42.2,90.8,-,14.9
Chhattisgarh,51.9,50.8,74.0,68.2,84.7,76.9,94.8-,38.4
Goa,75.4,74.2,70.0,78.8,94.9,75.6,95.2,null,63.2
Gujarat,57.8,56.7,63.5,71.2,79.7,53.6,93.5,null,64.1
Haryana,55.7,57.1,21.5,81.8,62.2,54.9,90.7,null,57.7
Himachal Pradesh,67.4,67.7,46.6,79.5,76.2,64.7,94.8,null,74.3
Jammu & Kashmir,43.0,59.0,34.9,60.9,77.6,49.0,83.3,null,37.8
Jharkhand,38.9,39.2,42.7,59.8,82.3,48.7,86.0,null,25.1
Karnataka,56.9,55.3,63.0,84.0,77.3,42.0,77.2,null,57.2
Kerala,87.7,86.7,85.5,93.5,89.1,88.4,93.4,null,89.1
Madhya Pradesh,50.3,49.0,60.1,81.4,76.7,62.6,93.6,null,37.6
Maharashtra,67.0,65.9,70.8,87.4,84.5,65.2,92.3,null,64.8
Manipur,60.5,64.7,41.6,58.5,79.8,38.2,93.5,null,63.4
Meghalaya,59.6,60.3,35.2,63.3,64.1,64.3,65.3,null,44.7
Mizoram,86.7,81.2,57.4,91.4,88.7,34.5,55.7,null,94.1
Nagaland,61.5,65.6,33.3,61.6,72.7,70.1,null,null,null
Orissa,50.5,50.6,62.3,44.1,86.1,58.8,89.6,null,26.5
Rajasthan,43.9,43.2,40.8,77.7,53.8,55.1,89.3,null,40.2
Sikkim,60.4,60.5,52.0,65.2,87.1,59.8,86.2,null,54.5
Tamil Nadu,64.4,62.4,76.2,81.6,77.2,80.6,88.4,null,81.7
Tripura,64.9,67.3,51.4,57.3,89.5,37.4,78.4,null,65.3
Uttar Pradesh,42.2,43.1,37.4,67.4,63.8,40.3,90.3,null,52.0
Uttaranchal,59.6,61.7,40.3,85.3,64.2,68.0,94.4,null,52.3
West Bengal,59.6,63.1,49.8,62.3,82.0,66.2,88.9,null,34.2
Andaman & Nicobar Islands,75.2,75.1,86.8,71.6,90.7,83.0,100.0,null,81.1
Delhi,74.7,75.4,59.1,91.7,89.1,75.6,95.1,null,86.5
Pudducherry,73.9,72.5,82.6,82.9,78.1,93.3,93.6,null,86.4





