State,All Religious Communities,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Zoroastrians,Others
Andhra Pradesh,100.0,89.0,9.2,1.6,null,null,null,null,0.05
Bihar,100.0,83.2,16.5,0.1,null,null,null,null,0.1
Chhattisgarh,100,94.7,2.0,1.9,0.3,0.3,0.3,null,0.5
Goa,100,65.8,6.8,26.7,0.1,null,0.1,null,null
Gujarat100,89.1,9.1,0.6,0.1,null,1.0,null,null
Haryana,100,88.2,5.8,0.1,5.5,null,0.3,null,null
Himachal Pradesh,100.0,95.4,2.0,0.1,1.2,1.2,null,null,null
Jammu & Kashmir,100,29.60,67.0,0.2,2.0,1.1,null,null,null
Jharkhand,100,68.6,13.8,4.1,0.3,0.05940,0.1,0.00321,13.0
Karnataka,100.0,84.0,12.2,1.9,0.03,0.7,0.8,0.001,0.2
Kerala,100.0,56.2,24.7,19.0,null,,null,null,null,null
Madhya Pradesh,100.0,91.1,6.4,0.3,0.2,0.3,0.9,null,0.7
Maharashtra,100.0,80.4,10.6,1.1,0.2,6.0,1.3,0.05,0.2
Manipur,100,46.0,8.8,34.0,0.1,0.1,0.1,null,10.9
Meghalaya,100,13.34.3,70.3,0.1,0.2,null,null,11.5
Mizoram,100,3.6,1.1,87.0,null,7.9,null,null,0.3
Nagaland,100.0,7.7,1.8,90.0,0.1,0.1,0.1,null,0.3
Orissa,100.0,94.4,2.1,2.4,0.04,0.02,0.02,null,1.0
Rajasthan,100,88.7,8.5,0.1,1.5,null,1.2,null,null
Sikkim,100,60.9,1.4,6.7,0.2,28.1,Negligible,Negligible,2.4
Tamil Nadu,100 88.1 5.6 6.1,null,null,0.1,null,null
Tripura,100,85.6,8.0,3.2,null,3.1,null,null,null
Uttar Pradesh,100,80.6,18.5,0.1,0.4,0.2,0.1,null,null
Uttaranchal,100.0,85.0,11.9,0.3,2.5,0.1,0.1,null,null
West Bengal,100.0,72.47,25.25,0.6,0.1,0.03,0.1,null,1.1
Andaman & Nicobar Islands,100.0,69.2,8.2,21.7,0.4,0.1,null,null,null
Delhi,100 82.0,11.7,0.9,4.0,0.2,1.1,null,null
Pudducherry,100,86.8,6.16.9,null,null,null,null,null







