State,All Religious Communities,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Zoroastrians,Others
Andhra Pradesh,978,979,961,1037,796,960,936,null,946
Bihar,919,915,943,974,879,841,904,null,935
Chhattisgarh,989,990,943,1021,899,1012,922,null,1014
Goa,961,918,867,1,107,644,818,885,null,868
Gujarat,920,918,937,988,824,889,969,null,986
Haryana,861,858,870,918,893,783,911,null,790
Himachal Pradesh,968,973,806,822,898,942,877,null,1005
Jammu & Kashmir,892,824,927,594,809,941,856,null,902
Jharkhand,941,928,939,1018,838,885,928,null,990
Karnataka,965,966,957,1030,739,907,926,null,966
Kerala,1058,1058,1082,1031,714,875,996,null,957
Madhya Pradesh,919,918,929,996,882,949,925,null,1029
Maharashtra,922,923,889,993,829,961,942,null,988
Manipur,978,974,973,977,515,879,842,null,1009
Meghalaya,972,827,891,1004,718,871,906,null,996
Mizoram,935,341,271,986,null,929,738,null,985
Nagaland,900,582,614,941,488,782,null,null,null
Orissa,972,971,948,1026,851,904,933,null,1009
Rajasthan,921,920,929,986,892,802,960,null,815
Sikkim,875,852,439,960,108,944,664,null,983
Tamil Nadu,987,983,1020,1031,731,868,933,null,882
Tripura,948,949,945,941,101,956,916,null,759
Uttar Pradesh,898,894,918,961,877,895,911,null,871
Uttaranchal,962,978,875,960,898,778,930,null,762
West Bengal,934,932,933,1002,807,981,929,null,985
Andaman & Nicobar Islands,846,828,860,904,818,358,917,null,859
Delhi,821,817,782,1076,925,829,935,null,871
Pudducherry,1001,987,1097,1101,543,780,900,,null,904


