State,All Religious Communities,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Zoroastrians,Others
Andhra Pradesh,60.5,59.4,68.0,75.3,78.7,54.8 93.2,-,69.5
Bihar,47.0,47.9,42.0,71.1,79.8,59.0,93.3,-,28.7
Chhattisgarh,64.7,63.9,82.5,75.3,89.0,84.9,96.8,null,53.6
Goa,82.0,81.9,75.4,83.8,95.5,82.8,95.7,null,73.3
Gujarat,69.1,68.3,73.5,77.7,85.1,66.9,96.0,null,69.9
Haryana,67.9,69.4,40.0,85.3,68.9,67.4,94.2,null.66.9
Himachal Pradesh,76.5,76.8,57.5,82.8,83.0,73.7,96.3,null,78.0
Jammu & Kashmir,55.5,71.2,47.3,74.8,85.4,59.7,86.5,null,46.3
Jharkhand,53.6,54.6,55.6,67.9,87.8,62.5,90.9,null,40.2
Karnataka,66.6,65.6,70.1,87.4,83.7,54.8,84.3,null,68.2
Kerala,90.9,90.2,89.4,94.8,92.4,92.1,25.5,null,91.3
Madhya Pradesh,63.7,62.8,70.3,85.8,82.9,74.4,96.2,null,52.1
Maharashtra,76.9,76.2,78.1,91.0,88.9,76.2,95.4,null,73.2
Manipur,70.5,75.3,58.6,65.9,88.5,53.3,94.5,null,73.5
Meghalaya,62.6,69.3,42.7,65.3,74.7,70.8,69.9,null,45.0
Mizoram,88.8,79.3,74.7,93.1,91.8,45.8,61.7,null,95.5
Nagaland,66.6,74.9,48.2,66.2,82.8,74.6,null,null,null
Orissa,63.1,63.3,71.3,54.9,90.5,71.0,93.3,null,42.4
Rajasthan,60.4,60.2,56.6,83.0,64.7,71.4,94.0,null,55.6
Sikkim,68.8,69.4,57.8,72.4,97.2,67.3,90.7,null,63.2
Tamil Nadu,73.5,72.0,82.9,85.8,83.7,86.3,92.2,null,87.0
Tripura,73.2,75.3,60.9,67.9,98.4,49.2,82.9,null,75.4
Uttar Pradesh,56.3,58.0,47.8,72.8,71.9,56.2,93.2,null,64.0
Uttaranchal,71.6,74.1,51.1,87.9,73.1,76.3,96.3,null,63.2
West Bengal,68.6,72.4,57.5,69.7,87.2,74.7,92.8,null,51.5
Andaman & Nicobar Islands,81.3,81.7,89.8,77.0,94.1,91.4,100.0,null,87.1
Delhi,81.7,82.8,66.6,94.0,92.1,83.8,96.8,null,88.8
Pudducherry,81.2,80.3,87.8,87.3,90.9,92.8,96.3,null,92.8

